Whole-Game Gap Backlog
P0 invalidates the game or current production truth; P1 is a major integration risk; P2 is later ownership.
ID,Priority,Weak point,Root cause,Consequence,Required fix,Owning gate,Status,Acceptance proof
G01,P0,Fragmented canon and unsafe status language,Overlapping specialist documents without one production register,Contradictory implementation and false completion claims,Create clause-level System Registry and five-axis status,I0,Open,Every feature has current authority and independent build/evidence states
G02,P0,No central causal resolver,"Vitals, activity and environment are specified separately","Double charges, impossible cascades and fabricated recovery",One activity declaration and one state-resolution pass,I2,Open,Representative scenarios resolve once and match causal direction
G03,P0,Capability graph is not machine-testable,Dependency ancestry lives in prose and tables,"Unreachable endpoints, circular gates and single-source dead ends",Encode nodes/edges and automate reachability and bottleneck checks,I2,Open,All required endpoints reachable with at least one recovery path
G04,P0,No complete playable campaign,Only a vertical-slice loop exists,The central promise remains unproven,Build one compressed Borrowed Signal route end to end,I7,Open,A new player reaches reception and resolves a Human Thread
G05,P0,Embodied feel not accepted,Automation outpaced physical player evidence,Core verbs feel sluggish or unreliable,Embodied Play Lab and real Android acceptance,I0–I1,Open,Players complete the loop without coaching or latched controls
G06,P0,Discovery language incomplete,Empty book removes recipes but affordances are not yet playable,Random-combination frustration,"Operation intentions, material properties and diagnostic evidence",I4,Open,Players form plausible hypotheses without external lookup
G07,P0,Most numbers lack calibration state,Prose contains targets but no shared tuning ledger,Inconsistent rates and hidden assumptions,Classify every value and tune through workbook + telemetry,I2+,Open,"Every numeric field has unit, source/status and acceptance band"
G08,P0,First-night legacy imbalance,"Night, shelter and fire constants predate later rulings",Shelter trivializes fire while fuel creates busywork,"Rebalance time, refuge and fire together",I2,Open,First pressure at 150–180 s; refuge/fire remain complementary
G09,P0,Android runtime unverified,No Director-device APK session,"Input, thermal and performance risk",Run physical protocol and record evidence,I0,Blocked,"Director accepts collection, making, placement and save on device"
G10,P0,Scope beyond proven capacity,Catalogue growth preceded representative proof,Many shallow systems and delayed release,Representative-first gate sequence,All,Open,No new family enters production without a passed representative
G11,P0,No telemetry-to-ruling loop,Tests verify state more than comprehension and fun,Tuning remains opinion-led,"Declare questions, minimal telemetry and thresholds per slice",I1+,Open,Every slice produces a recorded keep/change/cut decision
G12,P0,Onboarding caught between realism and silence,Recipe-free is confused with instruction-free,Players cannot infer next credible action,"Teach through sensation, comparison, prior use and low-cost experiments",I4,Open,Players can name 2–4 credible next actions
G13,P1,World route topology unquantified,Island size and travel relationships remain descriptive,"Dead travel, bad hauling and unreadable site choice","Set distance, visibility, landmark and reserve bands",I3,Open,"Every early route has purpose, abort point and expected duration"
G14,P1,Wreckfall cadence unbalanced,Physical states exist without occurrence budget,"FOMO, clutter, starvation or pity drops",Wreck Director with concurrency and opportunity guarantees,I5,Open,Missing one wreck changes the world but never kills all routes
G15,P1,Salvage grammar unproven,Operations are described but not embodied,Long holds and menus replace work,Prototype one floating and one forest operation,I5,Open,"Players read, stabilize, extract and retreat with clear feedback"
G16,P1,Boat feel and safety uncalculated,"Seven states lack displacement, cargo and recovery model",Campaign-critical frustration or motion sickness,Maritime Lab,I6,Open,Launch/load/steer/capsize/reboard work on desktop and touch
G17,P1,Return route predates strict invention law,Borrowed Signal is not fully back-chained through v2.3/v2.4,Endgame violates the game's soul,Rebuild beacon/power/antenna route in dependency graph,I7,Open,"Every gate has ancestry, evidence, test and substitution"
G18,P1,Death transaction undefined,Fiction outpaces save/account authority,Technical failure looks like permadeath or resurrection,Atomic survivor closure and restoration policy,I8,Open,No uncertain technical state can permanently kill a survivor
G19,P1,Successor may inherit chores,Persistence can pre-solve play without new decisions,Legacy becomes walking between stations,"Changed arrival, unresolved operations and earned compression",I8,Open,Successor benefits visibly and still faces a genuinely new choice
G20,P1,Triangle truth ledger absent,Mystery boundaries are not privately locked,Anomaly excuses production contradictions,"Define invariants, boundary laws and forbidden explanations",I7,Open,All authored evidence is compatible with the ledger
G21,P1,No visual/acoustic constitution,Identity is carried by prose and primitives,"States, wonder and attachment are unreadable","Own material, weather, safety and anomaly languages",I1+,Open,Players identify critical state changes without text alone
G22,P1,Mobile complexity pressure,Many deep systems compete for limited screen and touch,Menu simulator and obscured world,Contextual work surfaces and progressive disclosure,I1–I4,Open,No core operation requires desktop-scale panels
G23,P1,Anti-grind is not measurable,Novelty and similarity are principles without data,Repetition exploit or tedious mastery,"Similarity keys, saturation and variance tests",I4,Open,Exact repetition saturates; varied diagnosed work advances
G24,P1,Calm and delight under-budgeted,Pressure has more specification than relief,Emotional exhaustion,Protected calm intervals and beauty beats,I2+,Open,Playtests contain remembered voluntary calm moments
G25,P2,Community Island remains a product promise,NPC and multiplayer responsibilities overlap,Society feels empty or technically unsafe,Small authored solo population first,I9,Banked,"Teaching, trade and joint work are meaningful without live players"
G26,P2,Ecology/hunting/agriculture lack one population model,Rich catalogues precede shared carrying-capacity equations,Hidden punishment and incoherent abundance,One plant–pest–prey–water chain first,I10,Banked,"Population changes are readable, reversible and causally linked"
